id,name,gender,member_since,year_of_birth,place_of_birth,genres
385,Nevil Shute,male,June 2 2016,1992,Kenya,fiction$non-fiction
386,Chris Dietzel,male,June 2 2019,1993,Yemen,dystopian
387,Diana Norman,female,April 22 2013,1995,Kuwait,historical-fiction$mystery-thrillers
388,Wallace Stevens,male,September 2 2017,1950,Hungary,poetry$essays
389,Frederic C. Rich,male,December 28 2014,1956,Dominica,fiction
390,E.M. Forster,male,August 13 2017,1965,Tunisia,fiction$essays
391,Phillip W. Simpson,male,October 8 2017,1997,Mexico,young-adult
392,Rennie Airth,male,March 19 2010,1985,Grenada,literature-fiction$mystery-thrillers
393,Daniel José Older,male,August 14 2015,1964,Germany,fantasy
394,Barbara Vine,female,February 2 2015,1980,Myanmar,mystery-thrillers
395,Devney Perry,female,June 3 2011,1956,Emirate,romance
396,Jim Benton,male,September 7 2016,1972,Iraq,arts-photography
397,Tish Thawer,female,July 12 2015,1995,Peru,paranormal-romance
398,Mark Twain,male,December 17 2013,1985,Barbados,literature-fiction$short-stories
399,Tanya Eavenson,female,March 15 2016,1992,Vietnam,christian
400,Alex J. Cavanaugh,male,December 25 2009,1952,Antigua,science-fiction-fantasy
401,Melissa Petreshock,female,May 8 2013,1982,Tuvalu,fantasy$romance
402,Salman Aditya,male,December 11 2017,1964,Malaysia,humor-and-comedy
403,James Dickey,male,June 13 2013,1953,Tanzania,literature-fiction$poetry
404,Emma Trevayne,male,June 7 2009,1950,Papua,science-fiction-fantasy
405,Marissa Moss,male,May 22 2010,1971,Canada,children-s-books
406,Maureen Johnson,female,March 16 2016,1992,Bosnia,literature-fiction
407,Anne Rice,female,March 5 2019,1963,Turkmenistan,horror
408,Jessica Brockmole,male,September 6 2008,1981,Zambia,historical-fiction
409,Lisa M. Harley,male,June 15 2017,1997,Bosnia,romance
410,Emmuska Orczy,female,January 3 2018,1986,Vanuatu,literature-fiction
411,K.C. Hilton,female,January 1 2009,1959,Macedonia,historical-romance
412,Else Holmelund Minarik,female,August 2 2011,1977,Moldova,children-s-books
413,Elizabeth Strout,female,March 27 2011,1969,Germany,literature-fiction
414,Kiera Cass,male,January 19 2011,1970,British,young-adult
415,Jennifer Rush,female,December 24 2010,1954,Niger,young-adult
416,Laura Kinsale,female,March 17 2011,1963,Turkey,romance$historical-fiction
417,Ashley Jade,male,December 16 2010,1973,Azerbaijan,romance$erotica
418,Katie de Long,male,July 27 2012,1977,Vatican,romance
419,Angela  Graham,male,November 28 2010,1988,San Marino,romance$contemporary
420,Heinrich Harrer,male,November 1 2017,1950,Madagascar,biography$travel
421,Jay Kristoff,male,September 8 2018,1974,Syria,science-fiction-fantasy
422,Lynne   Kelly,female,January 21 2017,1980,Zimbabwe,children-s-books
423,Cath Crowley,male,August 14 2009,1998,Iran,young-adult
424,Nancy Garden,female,December 5 2019,1985,Czech,young-adult$children-s-books
425,Anton Szandor LaVey,male,November 5 2019,1951,Kyrgyzstan,religion-spirituality
426,Carrie Vaughn,female,February 3 2010,1989,Emirate,science-fiction-fantasy$mystery-thrillers
427,Penelope Fletcher,female,January 22 2007,1997,Namibia,science-fiction-fantasy
428,Michelle Warren,female,April 27 2014,1983,Bosnia,young-adult
429,Nicholas Eames,male,January 10 2012,1967,St Kitts,fantasy
430,Maggie Stiefvater,female,December 6 2016,1955,Nepal,young-adult
431,Nicola Haken,male,March 13 2018,1990,St Kitts,romance
432,Ilsa Madden-Mills,female,March 1 2013,1965,Venezuela,ebooks
433,S.L. Jennings,female,September 2 2013,1955,Herzegovina,contemporary
434,Courtney Allison Moulton,female,November 22 2017,1971,Uruguay,young-adult
435,Yōko Ogawa,female,March 21 2018,1998,Grenadines,contemporary$fiction
436,James Fenimore Cooper,male,July 21 2015,1972,Uganda,fiction$historical-fiction
437,Whitney Gardner,female,January 3 2012,1980,England,young-adult
438,Angela Carter,female,April 2 2008,1987,Tajikistan,fiction
439,Anastasia Hopcus,male,December 18 2008,1999,Mexico,young-adult$science-fiction-fantasy
440,Caroline Knapp,female,April 24 2009,1984,Denmark,nonfiction
441,René Zografos,male,August 26 2016,1962,Trinidad,non-fiction
442,Norman L. Geisler,male,February 3 2017,1964,Mozambique,religion-spirituality
443,Catherynne M. Valente,female,December 1 2008,1950,Ivory Coast,literature-fiction
444,Robert Lynn Asprin,male,December 5 2009,1986,Ghana,science-fiction-fantasy
445,Phyllis T. Smith,male,July 27 2018,1973,Norway,historical-fiction
446,Alan Furst,male,December 13 2015,1960,Austria,mystery-thrillers$historical-fiction
447,Shashi Tharoor,male,April 4 2009,1984,Morocco,non-fiction
448,Carson McCullers,female,September 15 2019,1978,Micronesia,fiction$poetry$tragicomedy
449,Dashka Slater,female,July 8 2013,1986,Armenia,children-s-books
450,Jami Alden,female,January 6 2017,1967,Ivory Coast,literature-fiction$romance$mystery-thrillers
451,M.G. Wells,female,May 23 2011,1978,Morocco,fantasy
452,Jacqueline Winspear,female,December 23 2018,1956,Spain,mystery-thrillers
453,Jessica James,female,November 17 2016,1987,Burkina,suspense$historical-fiction
454,Rick Chiantaretto,male,October 5 2018,1980,El Salvador,suspense
455,Jeff Kinney,male,January 11 2014,1998,Antigua,children-s-books
456,Kaylene Johnson,male,October 22 2014,1988,Singapore,biographies-memoirs$outdoors-nature
457,Lila Dare,female,February 27 2009,1953,Nigeria,mystery-thrillers
458,K.M. Shea,female,October 3 2019,1991,Austria,fantasy
459,Jess Walter,male,May 16 2013,1957,Sierra Leone,literature-fiction$mystery-thrillers
460,Conor Kostick,male,August 23 2012,1971,Bulgaria,science-fiction-fantasy
461,Amanda Downum,male,March 13 2014,1970,Madagascar,science-fiction-fantasy
462,Dan Chaon,male,August 13 2011,1977,Ecuador,literature-fiction$short-stories
463,Alyloony,female,May 7 2013,1970,Korea,young-adult
464,Amalie Howard,female,April 6 2013,1969,Niger,young-adult
465,Julie Cross,female,August 10 2009,1990,Portugal,new-adult
466,Johan Harstad,male,September 2 2008,1953,Tobago,literature-fiction
467,Julie Johnstone,male,November 19 2010,1972,Holland,romance
468,Julia Quinn,female,October 21 2019,1981,Indonesia,romance$historical-fiction
469,Vasily Mahanenko,male,October 22 2018,1986,Marshall,litrpg$fantasy
470,Tara A. Fuller,male,July 23 2014,1963,Algeria,romance
471,Stacey Nash,female,April 26 2009,1970,Mauritius,young-adult
472,Christina Mobley,female,June 8 2015,1980,Congo,young-adult
473,Jeri Smith-Ready,female,October 6 2015,1983,Bhutan,young-adult
474,Sherrie Henry,male,June 5 2013,1989,Ghana,young-adult
475,Jon Ronson,male,April 9 2018,1988,Norway,journalism
476,Evangeline Anderson,female,June 7 2007,1952,Myanmar,romance
477,Sarah J. Maas,female,April 3 2014,1997,Malaysia,young-adult
478,Karin Tabke,female,August 20 2016,1959,Libya,romance
479,Louise Fitzhugh,female,November 17 2019,1956,Tuvalu,children-s-books
480,Snorri Sturluson,male,November 1 2019,1979,St Kitts,history$poetry
481,Vicki Myron,male,February 25 2009,1956,Tanzania,nonfiction
482,Sandra Byrd,female,July 12 2010,1993,Haiti,historical-fiction
483,Carol K. Carr,female,December 28 2011,1970,Bissau,historical-fiction$mystery-thrillers
484,Elizabeth Haydon,male,May 22 2010,1997,Djibouti,science-fiction-fantasy
485,Melonie Johnson,female,December 11 2009,1985,Indonesia,romance
486,Emma Donoghue,female,October 3 2018,1978,Chad,literature-fiction
487,Ann Cleeves,female,October 15 2015,1967,Indonesia,crime
488,Jim Gaffigan,male,August 26 2018,1987,San Marino,comedy-humor
489,Jacky Hyams,male,July 13 2017,1978,Thailand,memoir
490,Tamora Pierce,male,February 4 2007,1995,Italy,science-fiction-fantasy$children-s-books
491,Catherine Christian,female,April 19 2014,1984,Andorra,children-s-books$science-fiction-fantasy
492,Amy Rose Capetta,female,November 16 2013,1952,Bosnia,young-adult
493,Barb Hendee,male,June 5 2008,1989,Qatar,science-fiction-fantasy
494,A.J. Pine,female,October 16 2012,1987,Guatemala,romance
495,Mikhail Bulgakov,male,August 11 2011,1959,Iraq,fiction$short-stories$memoir
496,Stylo Fantome,male,April 21 2014,1991,Solomon,fiction
497,Kristin Halbrook,female,March 27 2016,1955,Scotland,young-adult
498,Melissa Turner Lee,male,February 10 2010,1985,Syria,young-adult
499,M.  Robinson,male,June 15 2013,1974,Malaysia,romance
500,Eileen Wilks,female,August 28 2007,1970,Bulgaria,science-fiction-fantasy$romance
501,Ben Peller,male,December 18 2018,1993,Oman,humor$entertainment
502,Rebecca A. Rogers,female,May 27 2016,1988,Brunei,fantasy
503,Ashley Poston,female,February 10 2013,1959,Italy,young-adult
504,Allison Hawn,female,November 13 2014,1984,Mexico,humor-and-comedy
505,Kimberly Karalius,female,July 9 2014,1966,Japan,young-adult
506,M.  Clarke,female,July 15 2007,1986,England,romance$chick-lit$contemporary
507,T.S. Krupa,female,November 16 2011,1976,Maldives,romance
508,Caroline Kraus,male,May 7 2012,1971,Greece,biographies-memoirs
509,Michelle Zink,male,December 4 2012,1984,Slovakia,young-adult
510,Meša Selimović,male,June 2 2007,1993,Tobago,literature-fiction$religion-spirituality
511,John Kennedy Toole,male,September 22 2009,1962,Pakistan,fiction
512,Kimberly Joy Villanueva,female,January 3 2013,1961,Burundi,young-adult
513,Jennifer Castle,female,March 14 2019,1992,St Lucia,young-adult
514,T.K. Leigh,female,December 17 2011,1967,Thailand,contemporary
515,Will Cuppy,male,November 23 2013,1976,New Zealand,humor$history$zoology
516,Sophie McKenzie,male,March 7 2011,1955,San Marino,thriller
517,Elizabeth Hoyt,male,April 13 2011,1985,Ethiopia,romance
518,L.A. Fiore,male,February 22 2009,1992,South Africa,romance
519,Beth Wiseman,female,February 16 2009,1974,Montenegro,romance
520,Rachel Hartman,female,April 22 2010,1973,Belgium,young-adult$science-fiction-fantasy
521,Brett J. Talley,male,October 2 2011,1995,Tunisia,horror
522,Algernon Blackwood,male,June 22 2012,1973,Netherlands,horror$short-stories$weird-fiction
523,Sylvia Brownrigg,female,July 25 2013,1955,Bissau,fiction
524,Kelly Keaton,female,February 15 2018,1997,Cuba,young-adult$science-fiction-fantasy
525,David Seltzer,male,January 24 2015,1968,Afghanistan,horror$science-fiction$fantasy
526,Ree Drummond,female,April 23 2016,1958,USA,cooking-food-wine$romance
527,James Faro,male,January 27 2016,1975,Algeria,historical-fiction
528,Henry Gray,male,September 14 2007,1961,America,science
529,Euclid,male,March 7 2011,1994,Jordan,mathematics
530,Mazarkis Williams,male,April 18 2009,1959,Philippines,science-fiction-fantasy
531,Gennifer Albin,female,March 11 2009,1989,Sweden,young-adult
532,Laurell K. Hamilton,female,March 4 2008,1956,Algeria,science-fiction-fantasy
533,Dan  Allen,male,May 17 2007,1977,Lesotho,fantasy
534,Josh McDowell,male,May 4 2014,1963,Brunei,religion-spirituality
535,Kerri Maniscalco,female,January 14 2010,1972,Kyrgyzstan,young-adult
536,Lisa Gillis,female,July 4 2012,1999,Serbia,contemporary
537,David Nicholls,male,September 21 2011,1991,Singapore,literature-fiction
538,James Frey,male,June 9 2019,1993,Paraguay,biographies-memoirs$science-fiction-fantasy
539,Amy Plum,female,April 9 2008,1975,Nauru,young-adult
540,Cait Jarrod,male,November 1 2008,1987,Ecuador,romance
541,C.S. Harris,female,December 8 2018,1957,Switzerland,mystery-thrillers$historical-fiction
542,Daniel Clowes,male,March 8 2012,1962,Kuwait,comics-graphic-novels
543,Yvonne Ventresca,female,May 20 2016,1971,Czech,young-adult
544,Patricia H. Graham,female,July 1 2015,1983,Luxembourg,literature-fiction
545,Blaize Clement,female,August 16 2007,1986,Nauru,mystery-thrillers
546,Sophie Jordan,female,July 5 2008,1990,Argentina,romance$young-adult
547,Chelsea Fine,male,December 8 2009,1977,Moldova,new-adult
548,Susan Fanetti,female,August 4 2011,1962,Belize,romance
549,Ruth Prawer Jhabvala,female,February 2 2015,1975,Ethiopia,literature-fiction$history$entertainment
550,Gordon B. Hinckley,male,December 4 2008,1965,Denmark,religion-spirituality
551,Timothy Egan,male,August 13 2011,1985,Romania,history
552,Belinda Burke,male,July 23 2012,1952,Israel,fantasy$romance
553,John Berendt,male,April 3 2008,1955,Malawi,literature-fiction
554,Joan He,female,January 4 2019,1967,Germany,young-adult
555,Jill Thompson,female,April 14 2015,1961,Kosovo,comics-graphic-novels$children-s-books
556,Karen      Rose,female,May 24 2008,1962,India,suspense
557,M.T. Vasudevan Nair,male,August 21 2008,1980,Peru,fiction$children-s$non-fiction
558,Robert Wright,male,February 24 2009,1985,Antigua,nonfiction$science
559,Julietta Suzuki,female,March 1 2018,1952,Nauru,manga
560,Patti Smith,female,November 3 2015,1954,Suriname,poetry$memoir
561,Lisa Renee Jones,female,April 13 2008,1957,Bahamas,romance
562,Melissa Perea,male,August 14 2008,1957,Burkina,young-adult
563,Al Franken,male,May 13 2008,1988,Kenya,nonfiction
564,Khalid Muhammad,male,February 28 2015,1986,Gabon,thriller
565,Angel Sefer,female,March 6 2007,1964,Antigua,mystery
566,Kasia James,male,January 21 2010,1984,Ecuador,science-fiction-fantasy$short-stories
567,Jack Brighton,male,September 25 2007,1979,Djibouti,gay-lesbian
568,Isak Dinesen,female,June 15 2008,1967,Hungary,fiction$memoir
569,J.A. Saare,female,May 16 2013,1972,Bangladesh,horror
570,John Fowles,male,April 27 2016,1993,Tajikistan,literature-fiction
571,Mary Ting,female,September 2 2010,1997,Norway,young-adult
572,Anna Lee Waldo,female,April 2 2011,1967,Guinea,historical-fiction
573,Samantha Shannon,male,May 16 2018,1984,Mauritius,fiction
574,Ellen Oh,male,January 4 2014,1962,Botswana,young-adult
575,Keith Ferrazzi,male,December 11 2011,1952,Gabon,business-investing
576,Paul Kalanithi,male,September 26 2007,1987,Belarus,non-fiction$memoir
577,Masara Minase,male,June 1 2011,1986,Costa Rica,manga$bl$yaoi
578,Tijan,male,November 22 2016,1952,South Africa,fiction
579,Mario Puzo,male,May 20 2009,1997,India,literature-fiction$classics
580,River Jaymes,male,June 28 2010,1993,Burkina,gay-and-lesbian
581,Malcolm X,male,March 22 2015,1968,Rwanda,nonfiction$biographies-memoirs
582,Toni Mount,male,July 7 2008,1961,Belarus,history
583,Emily Albright,female,December 7 2019,1983,Liberia,young-adult
584,Ania Ahlborn,female,December 12 2013,1951,Ghana,horror
585,Kelly deVos,female,April 21 2010,1964,Brazil,young-adult
586,Robert Sobel,male,March 11 2009,1983,Netherlands,business-investing$history$science-fiction-fantasy
587,Jill Shalvis,female,May 4 2008,1977,Guinea,romance
588,Aubrey Rose,female,May 17 2014,1996,Panama,romance
589,Jessica Sorensen,female,October 15 2012,1953,Honduras,young-adult
590,Arnold Lobel,male,January 28 2010,1978,Bahrain,children-s-books
591,David K. Saunders,male,July 9 2010,1969,Georgia,history$historical-fiction
592,Al Gore,male,August 3 2011,1956,Burma,non-fiction
593,Earlene Fowler,female,June 17 2019,1993,Ghana,mystery-thrillers
594,Jenny  Martin,female,August 19 2011,1959,Portugal,young-adult
595,Tony Kushner,male,September 3 2009,1966,Japan,literature-fiction
596,Jennifer Salvato Doktorski,female,December 1 2015,1985,El Salvador,young-adult
597,Amy Sohn,female,December 20 2010,1960,Bangladesh,literature-fiction
598,Mindee Arnett,male,March 7 2014,1969,Cameroon,young-adult
599,Tessa Bailey,male,April 8 2018,1992,Turkmenistan,romance
600,Janette Rallison,female,September 21 2019,1951,Welsh,romance
601,T.E. Carter,female,July 23 2015,1973,Georgia,contemporary
602,Shelly Crane,female,February 26 2014,1981,Vanuatu,young-adult
603,Natasha Madison,female,February 18 2018,1955,Burundi,romance
604,Lily  White,female,April 18 2009,1962,Samoa,fiction
605,Heidi R. Kling,female,August 21 2011,1961,Iceland,fiction$thriller
606,Steve Kluger,male,November 5 2015,1960,Ecuador,literature-fiction$gay-lesbian
607,Katherine Paterson,female,July 2 2017,1988,Chile,children-s-books
608,Joel T. McGrath,male,October 9 2011,1980,Tunisia,children-s-books$young-adult
609,Zachary Karabell,male,March 23 2009,1961,Liechtenstein,history
610,Kirsty Moseley,male,February 17 2015,1958,Mexico,young-adult
611,Serena Yates,male,July 9 2018,1993,San Marino,gay
612,Louise L. Hay,female,October 6 2017,1992,Herzegovina,religion-spirituality$women-gender-studies
613,Moïra Fowley-Doyle,female,February 18 2009,1987,Wales,young-adult
614,Steven Wolff,male,February 23 2012,1994,Kenya,paranormal
615,Heather Burch,male,September 1 2012,1995,Peru,contemporary
616,Jack L. Chalker,male,December 22 2010,1963,Sao Tome,science-fiction-fantasy
617,Ruth  Silver,female,June 15 2013,1993,Lithuania,young-adult
618,Jana Oliver,female,February 13 2007,1975,Nigeria,young-adult
619,Bee Wilson,female,July 9 2016,1999,Armenia,non-fiction$history
620,J. Bartell,male,February 27 2010,1983,Russia,memoir
621,Durgesh Satpathy,male,July 10 2007,1971,Swaziland,self-help
622,Robert Munsch,male,December 21 2011,1971,Libya,children-s
623,Seth Godin,male,September 14 2017,1967,Cyprus,business-investing
624,Jeff Somers,male,September 23 2007,1986,Burundi,fantasy
625,Chad Harbach,male,March 15 2016,1986,Mauritius,literature-fiction
626,A.J.  Walters,female,November 3 2015,1981,Kenya,contemporary
627,Adam Lewis Walker,male,December 27 2012,1957,Maldives,non-fiction
628,Yasunari Kawabata,male,December 23 2018,1983,Cape Verde,literature-fiction$short-stories
629,Jessica  Keller,female,April 26 2013,1964,Belgium,romance
630,Simone Elkeles,female,August 3 2012,1992,St Lucia,young-adult
631,Nancy Werlin,male,November 21 2017,1953,Honduras,literature-fiction$mystery-thrillers
632,James Joyce,male,May 18 2018,1972,Liechtenstein,fiction$poetry
633,Ellie R. Hunter,female,February 1 2012,1998,Algeria,romance
634,Beth Williamson,female,April 6 2013,1990,Tonga,romance
635,Patrick Lencioni,male,August 1 2015,1962,Sierra Leone,business-investing
636,Laura Miller,female,November 2 2016,1975,Zambia,fiction
637,S.M. Reine,male,January 21 2011,1966,Russia,science-fiction-fantasy
638,Claudia Gabel,male,July 8 2018,1996,Latvia,young-adult$fantasy
639,John William Polidori,male,October 16 2017,1996,Russia,literature-fiction$horror
640,Amy Spalding,female,October 20 2007,1965,Sudan,young-adult
641,Jenna Jameson,female,July 2 2011,1995,Brunei,biographies-memoirs
642,Clare Harvey,male,August 22 2017,1986,Mali,historical-fiction
643,Norton Juster,male,January 11 2019,1964,Yemen,children-s-books
644,Julie Campbell,female,May 26 2018,1972,Lesotho,mystery-thrillers$young-adult
645,Laurie Faria Stolarz,female,November 18 2008,1985,Luxembourg,suspense-paranormal-romance
646,Jorie Graham,female,April 26 2008,1953,Tanzania,poetry
647,David        Cook,male,November 5 2011,1999,Wales,historical-fiction
648,Michelle Modesto,female,April 15 2011,1966,Botswana,young-adult
649,L.M. Montgomery,female,December 19 2016,1971,Samoa,children-s-books$literature-fiction
650,Luther Blissett,male,November 21 2014,1993,Belize,literature-fiction$historical-fiction
651,Lenora Bell,female,July 7 2019,1983,Nepal,romance
652,Stephen Hawking,male,April 13 2014,1956,France,science$non-fiction
653,Christopher Paul Curtis,male,December 1 2011,1985,Swaziland,children-s-books
654,Melvin Burgess,male,May 22 2007,1983,Maldives,literature-fiction$children-s-books
655,Ruby Dixon,female,February 3 2016,1972,Austria,romance$science-fiction
656,Victor LaValle,male,November 7 2017,1972,Slovenia,literature-fiction
657,Samantha Towle,female,November 19 2019,1980,Morocco,romance
658,Sona Charaipotra,female,February 1 2008,1979,Kuwait,young-adult
659,Joe Craig,male,May 27 2015,1969,Sao Tome,children-s
660,J.L. Merrow,female,December 26 2017,1987,Liechtenstein,gay-lesbian
661,Kimberly Kincaid,female,May 20 2014,1978,St Kitts,contemporary
662,Sharon Lee,female,July 16 2016,1977,Bulgaria,science-fiction-fantasy$mystery-thrillers
663,Georgette Heyer,female,August 3 2011,1989,Bahamas,romance$historical-fiction$mystery-thrillers
664,Sara Gruen,female,June 27 2017,1973,Kosovo,historical-fiction
665,Cynthia  Wright,female,December 22 2008,1997,Turkmenistan,historical-romance
666,Peter Robinson,male,March 17 2016,1982,New Zealand,mystery-thrillers
667,Tessa Dare,female,October 28 2009,1968,Mauritania,romance
668,Stacey  Lee,female,August 16 2017,1964,Afghanistan,young-adult
669,AdriAnne Strickland,female,January 15 2018,1984,USA,young-adult
670,Leonie Swann,male,January 27 2010,1976,Costa Rica,mystery
671,Kristen Ashley,female,November 17 2010,1985,Solomon,romance$humor
672,Jacob Z. Flores,male,August 7 2012,1978,Djibouti,gay-and-lesbian
673,Robert Fisk,male,July 9 2014,1978,Guyana,nonfiction
674,D.B. Reynolds,male,September 13 2008,1991,Antigua,paranormal$romance
675,J.R. Rain,male,July 26 2008,1972,Vanuatu,paranormal
676,Maryrose Wood,male,February 23 2009,1956,Sudan,children-s
677,Jonathan Safran Foer,male,April 7 2009,1986,Austria,fiction
678,Martina Riemer,male,December 28 2018,1999,Comoros,romance
679,Mark Shearman,male,January 19 2013,1959,Serbia,fiction
680,Katherine Arden,female,November 9 2010,1981,Antigua,fantasy
681,Savannah Brown,female,May 8 2017,1992,Jordan,young-adult
682,Elizabeth Haynes,female,December 13 2008,1986,Honduras,literature-fiction$mystery
683,Sophie Hannah,female,February 20 2016,1978,Slovakia,crime
684,Caleb Carr,male,January 27 2008,1983,Israel,science-fiction-fantasy$nonfiction
685,Madhur Jaffrey,female,June 25 2014,1951,Kosovo,cooking-food-wine$biographies-memoirs
686,Danika Dinsmore,female,June 11 2017,1964,Burkina,young-adult
687,Hunter S. Thompson,male,October 3 2011,1984,Bahrain,nonfiction$entertainment$gonzo-journalism
688,Lisa Desrochers,female,July 15 2018,1996,British,adult-new-adult-young-adult
689,Mary Wollstonecraft Shelley,female,August 15 2018,1995,Sweden,literature-fiction$horror$science-fiction-fantasy
690,Katie Kacvinsky,male,July 1 2007,1978,Morocco,young-adult
691,Quinn Loftis,female,December 19 2017,1964,Vatican,romance
692,Emery Lord,male,January 20 2015,1962,Bahrain,young-adult$contemporary
693,Julia Karr,male,September 25 2012,1971,Slovakia,young-adult$science-fiction-fantasy
694,Kate  McIntyre,female,September 20 2010,1979,St Kitts,fantasy
695,Allison Pataki,male,March 13 2018,1988,Germany,historical-fiction
696,Wendy Owens,female,March 7 2014,1976,Cyprus,romance
697,Paul Andrulis,male,February 24 2009,1958,Paraguay,action-adventure
698,Sherry Gammon,female,June 4 2013,1990,India,young-adult
699,Sam Kean,male,September 11 2016,1960,Barbados,nonfiction$science
700,P.B. Kerr,male,July 12 2017,1959,Chad,children-s-books$science-fiction-fantasy
701,Lisa Napoli,female,November 6 2009,1996,Jordan,memoir
702,Gary R. Henry,male,February 19 2016,1970,Welsh,fantasy
703,Louise Rennison,male,January 7 2012,1965,Vietnam,young-adult$literature-fiction
704,D.H. Starr,male,August 25 2019,1989,Czech,gay-lesbian$science-fiction-fantasy
705,Jussi Adler-Olsen,male,April 24 2016,1961,Emirate,mystery-thrillers
706,Miralee Ferrell,female,November 27 2008,1999,America,historical-fiction
707,Rebecca Schaeffer,female,March 14 2014,1988,Great Britain,fantasy
708,Masamune Shirow,male,April 3 2018,1961,Belize,manga$science-fiction-fantasy
709,Alexis  Hall,male,November 26 2008,1999,Togo,gay-and-lesbian
710,Julia Justiss,female,August 26 2012,1965,Central African Republic,romance
711,Nancy Thayer,female,November 2 2016,1964,Nigeria,literature-fiction$women-gender-studies
712,Reed Farrel Coleman,male,March 10 2013,1954,Chad,mystery-thrillers
713,Siri Mitchell,female,May 19 2018,1964,Solomon,christian
714,Katsuhiro Otomo,male,May 14 2008,1984,Ecuador,comics-graphic-novels
715,Andy McDermott,male,November 11 2009,1989,Greece,mystery-thrillers
716,Karin Fossum,female,August 11 2016,1953,Kosovo,mystery-thrillers
717,Sei Shōnagon,male,November 14 2009,1997,Israel,poetry$short-stories
718,Julia Donaldson,male,October 4 2011,1999,Peru,children-s-books
719,Erin Nicholas,female,October 10 2014,1989,Australia,romance
720,Ginny Bryce,male,December 28 2007,1959,Vietnam,historical-fiction
721,Tom   Reynolds,male,April 4 2015,1979,Japan,young-adult
722,John Shelton Jones,male,October 8 2013,1967,Chile,non-fiction
723,Rachael Slate,female,March 21 2015,1951,Indonesia,romance
724,Farahad Zama,male,December 1 2016,1986,Canada,literature-fiction
725,Sandra Brown,female,December 16 2010,1950,Chad,mystery-thrillers
726,Stephanie Rowe,female,November 4 2007,1956,Ireland,romance
727,Ronie Kendig,female,April 26 2009,1997,Panama,christian
728,Claire Legrand,female,November 17 2015,1956,Algeria,science-fiction-fantasy
729,L.B. Simmons,female,May 25 2017,1982,Indonesia,chick-lit
730,J. Sheridan Le Fanu,male,January 13 2011,1991,Sudan,literature-fiction$horror$short-stories
731,Andrea Hirata,male,June 28 2017,1966,Senegal,literature-fiction
732,Tanya Holmes,male,July 24 2017,1965,Yemen,romance$paranormal
733,W.J. Lundy,male,June 3 2008,1966,Argentina,horror$science-fiction
734,W. Bruce Cameron,female,February 15 2014,1979,Belgium,literature-fiction$humor
735,John Keegan,male,May 1 2012,1982,Rwanda,military-history$biographies-memoirs
736,Stephanie Bond,female,September 8 2016,1959,Guatemala,romance
737,Kristin D. Van Risseghem,female,October 18 2017,1980,South Africa,fantasy
738,Kate Elliott,female,August 6 2007,1976,Sweden,science-fiction-fantasy
739,Dan Ariely,male,September 12 2019,1953,Welsh,social-sciences
740,Eleanor Estes,female,January 7 2019,1962,Switzerland,children-s-books
741,Samantha Schutz,male,July 25 2012,1953,Madagascar,young-adult$biographies-memoirs
742,Jake Malden,male,May 22 2008,1952,Tuvalu,ebooks$romance
743,Bec Botefuhr,male,January 8 2015,1987,Djibouti,fiction
744,Victor J. Banis,male,December 28 2014,1983,France,gay-lesbian
745,Jodi Thomas,male,May 18 2011,1964,Moldova,historical-fiction$romance
746,Anthony Doerr,male,February 11 2016,1954,Vanuatu,literature-fiction$nonfiction
747,K.C. Neal,female,November 21 2011,1982,Bahrain,young-adult
748,Lauren Weisberger,female,April 16 2015,1986,Japan,literature-fiction
749,D.L. Bogdan,male,October 15 2010,1978,Marshall,historical-fiction
750,Kelly Favor,female,September 24 2012,1953,Philippines,romance
751,Tammara Webber,male,September 10 2018,1958,Sweden,romance
752,Elizabeth Gilbert,female,October 18 2011,1953,Eritrea,memoir
753,Lorraine Heath,female,December 18 2013,1973,Wales,romance
754,Suzanne Collins,female,March 23 2016,1950,Marshall,fiction$science-fiction-fantasy
755,Robert Rite,male,May 2 2012,1990,Mozambique,religion
756,Sakurako Gokurakuin,female,September 12 2008,1973,San Marino,manga$yaoi
757,K.I. Lynn,female,April 1 2019,1995,Malawi,romance
758,Shane K.P. O'Neill,male,May 6 2016,1977,Bulgaria,horror
759,Dava Sobel,female,December 22 2014,1975,Latvia,nonfiction$history
760,Mario  Giordano,male,August 18 2008,1982,Tuvalu,thriller
761,Alan Walsh,male,March 8 2008,1976,Germany,fiction
762,Shannon Hale,male,August 28 2014,1998,New Zealand,young-adult$literature-fiction
763,Susan Meissner,female,May 12 2019,1982,Iraq,literature-fiction
764,James Daugherty,male,October 1 2013,1966,Cameroon,children-s$historical-fiction
765,S.R. Watson,female,August 22 2015,1977,Portugal,romance
766,William  Boyd,male,February 13 2012,1984,Guinea,literature-fiction
767,Marie Kondō,male,April 22 2019,1978,Brunei,self-help$non-fiction
768,Jet Mykles,male,November 28 2010,1989,Suriname,romance
769,Sara Walsh,male,November 18 2015,1972,Botswana,science-fiction-fantasy
770,Elizabeth Gray Vining,female,March 18 2016,1982,Estonia,children-s-books$nonfiction
771,Azar Nafisi,male,January 1 2017,1956,Angola,nonfiction
772,Lesley Livingston,male,October 26 2017,1959,Bosnia,young-adult$science-fiction-fantasy$historical-fiction
773,L.L. Collins,female,May 23 2019,1984,Poland,fiction
774,Erasmus,male,June 26 2009,1992,Liberia,catholicism$philosophy
775,Jennifer Probst,female,February 8 2014,1950,Marshall,romance
